src,dst,edge_type,weight,distance_km
KEL_UP,KEL_KIT,flow,1.0,28.56
KEL_KIT,KEL_HAN,flow,1.0,37.69
KEL_HAN,KEL_KAD,flow,1.0,11.46
KEL_KAD,KEL_COL,flow,1.0,12.82
KAL_BAL,KAL_RAT,flow,1.0,33.09
KAL_RAT,KAL_BUL,flow,1.0,23.33
KAL_BUL,KAL_KLT,flow,1.0,26.81
GIN_NEL,GIN_BAD,flow,1.0,30.25
GIN_BAD,GIN_GAL,flow,1.0,9.74
NIL_PIT,NIL_AKU,flow,1.0,23.48
NIL_AKU,NIL_MAT,flow,1.0,18.54
ATT_NIT,ATT_GAM,flow,1.0,12.7
ATT_GAM,ATT_JAE,flow,1.0,11.43
MHO_GIR,MHO_MOU,flow,1.0,31.94
DED_KUR,DED_CHI,flow,1.0,63.06
MAH_NUW,MAH_PER,flow,1.0,41.16
MAH_PER,MAH_MHY,flow,1.0,44.95
MAH_MHY,MAH_MAN,flow,1.0,66.52
GAL_ING,GAL_AMP,flow,1.0,21.41
BAT_VAL,BAT_BAT,flow,1.0,29.35
WAL_EMB,WAL_AMB,flow,1.0,31.02
MAL_ANU,MAL_MAN,flow,1.0,83.06
KEL_HAN,KEL_AVI,flow,1.0,15.37
KAL_BUL,KAL_AGA,flow,1.0,14.58
GIN_NEL,GIN_THA,flow,1.0,11.06
NIL_PIT,NIL_URA,flow,1.0,9.39
MAH_PER,MAH_VIC,flow,1.0,20.46
MAH_MHY,MAH_POL,flow,1.0,67.72
WAL_EMB,WAL_UDA,flow,1.0,11.39
ATT_NIT,ATT_VEY,flow,1.0,4.37
DED_KUR,DED_WAR,flow,1.0,20.75
COL_KOT,COL_KOL,flow,1.0,5.12
KEL_KIT,KEL_RUW,flow,1.0,18.69
MAH_PER,MAH_KAN,flow,1.0,4.65
BAT_VAL,BAT_ERA,flow,1.0,18.38
KEL_UP,KAL_BAL,spatial,0.5789,21.87
KEL_UP,MAH_NUW,spatial,0.5692,22.54
KEL_UP,KEL_KIT,spatial,0.4897,28.56
KEL_UP,KAL_RAT,spatial,0.4846,28.98
KEL_KIT,KEL_RUW,spatial,0.6268,18.69
KEL_KIT,KEL_AVI,spatial,0.5694,22.52
KEL_KIT,KEL_UP,spatial,0.4897,28.56
KEL_KIT,KAL_RAT,spatial,0.4269,34.05
KEL_HAN,KEL_KAD,spatial,0.7509,11.46
KEL_HAN,KEL_AVI,spatial,0.681,15.37
KEL_HAN,COL_KOT,spatial,0.6059,20.04
KEL_HAN,COL_KOL,spatial,0.5862,21.36
KEL_KAD,COL_KOL,spatial,0.7758,10.16
KEL_KAD,COL_KOT,spatial,0.7722,10.34
KEL_KAD,KEL_HAN,spatial,0.7509,11.46
KEL_KAD,KEL_COL,spatial,0.7258,12.82
KEL_COL,COL_KOL,spatial,0.8921,4.57
KEL_COL,COL_KOT,spatial,0.7861,9.63
KEL_COL,ATT_JAE,spatial,0.7454,11.75
KEL_COL,KEL_KAD,spatial,0.7258,12.82
KAL_BAL,KEL_UP,spatial,0.5789,21.87
KAL_BAL,WAL_UDA,spatial,0.461,30.97
KAL_BAL,KAL_RAT,spatial,0.4372,33.09
KAL_BAL,MAH_NUW,spatial,0.4242,34.3
KAL_RAT,KAL_BUL,spatial,0.558,23.33
KAL_RAT,KEL_UP,spatial,0.4846,28.98
KAL_RAT,GIN_NEL,spatial,0.458,31.23
KAL_RAT,KAL_AGA,spatial,0.4477,32.15
KAL_BUL,KAL_AGA,spatial,0.6945,14.58
KAL_BUL,KAL_RAT,spatial,0.558,23.33
KAL_BUL,KAL_KLT,spatial,0.5116,26.81
KAL_BUL,GIN_NEL,spatial,0.4879,28.7
KAL_KLT,KAL_AGA,spatial,0.5819,21.66
KAL_KLT,KAL_BUL,spatial,0.5116,26.81
KAL_KLT,COL_KOT,spatial,0.4217,34.53
KAL_KLT,KEL_HAN,spatial,0.3873,37.94
GIN_NEL,GIN_THA,spatial,0.7585,11.06
GIN_NEL,KAL_AGA,spatial,0.6048,20.12
GIN_NEL,KAL_BUL,spatial,0.4879,28.7
GIN_NEL,GIN_BAD,spatial,0.4695,30.25
GIN_BAD,GIN_GAL,spatial,0.7839,9.74
GIN_BAD,GIN_THA,spatial,0.5536,23.65
GIN_BAD,GIN_NEL,spatial,0.4695,30.25
GIN_BAD,NIL_AKU,spatial,0.4371,33.1
GIN_GAL,GIN_BAD,spatial,0.7839,9.74
GIN_GAL,NIL_AKU,spatial,0.487,28.78
GIN_GAL,GIN_THA,spatial,0.478,29.53
GIN_GAL,GIN_NEL,spatial,0.3869,37.98
NIL_PIT,NIL_URA,spatial,0.7907,9.39
NIL_PIT,NIL_AKU,spatial,0.556,23.48
NIL_PIT,GIN_THA,spatial,0.5397,24.67
NIL_PIT,GIN_NEL,spatial,0.4525,31.72
NIL_AKU,NIL_MAT,spatial,0.629,18.54
NIL_AKU,NIL_URA,spatial,0.6123,19.62
NIL_AKU,NIL_PIT,spatial,0.556,23.48
NIL_AKU,GIN_GAL,spatial,0.487,28.78
NIL_MAT,NIL_AKU,spatial,0.629,18.54
NIL_MAT,NIL_URA,spatial,0.4509,31.86
NIL_MAT,NIL_PIT,spatial,0.3769,39.03
NIL_MAT,GIN_GAL,spatial,0.3718,39.57
ATT_NIT,ATT_VEY,spatial,0.8965,4.37
ATT_NIT,ATT_GAM,spatial,0.7279,12.7
ATT_NIT,KEL_RUW,spatial,0.6033,20.22
ATT_NIT,MHO_GIR,spatial,0.5874,21.28
ATT_GAM,ATT_VEY,spatial,0.7752,10.18
ATT_GAM,ATT_JAE,spatial,0.7514,11.43
ATT_GAM,ATT_NIT,spatial,0.7279,12.7
