event_id,node_id,basin,start,end,duration_days,peak_discharge
ATT_GAM_20040926,ATT_GAM,AttanagaluOya,2004-09-26,2004-09-29,4,38.81
ATT_GAM_20041031,ATT_GAM,AttanagaluOya,2004-10-31,2004-11-03,4,21.65
ATT_GAM_20041109,ATT_GAM,AttanagaluOya,2004-11-09,2004-11-15,7,17.97
ATT_GAM_20061020,ATT_GAM,AttanagaluOya,2006-10-20,2006-11-29,41,40.5
ATT_GAM_20080229,ATT_GAM,AttanagaluOya,2008-02-29,2008-02-29,1,20.13
ATT_GAM_20081020,ATT_GAM,AttanagaluOya,2008-10-20,2008-10-21,2,17.88
ATT_GAM_20101204,ATT_GAM,AttanagaluOya,2010-12-04,2010-12-04,1,16.86
ATT_GAM_20101208,ATT_GAM,AttanagaluOya,2010-12-08,2010-12-09,2,17.16
ATT_GAM_20110913,ATT_GAM,AttanagaluOya,2011-09-13,2011-09-14,2,18.23
ATT_GAM_20121029,ATT_GAM,AttanagaluOya,2012-10-29,2012-11-01,4,18.23
ATT_GAM_20121124,ATT_GAM,AttanagaluOya,2012-11-24,2012-11-24,1,19.09
ATT_GAM_20121127,ATT_GAM,AttanagaluOya,2012-11-27,2012-11-28,2,21.18
ATT_GAM_20141222,ATT_GAM,AttanagaluOya,2014-12-22,2014-12-28,7,24.64
ATT_GAM_20151016,ATT_GAM,AttanagaluOya,2015-10-16,2015-11-03,19,32.19
ATT_GAM_20160515,ATT_GAM,AttanagaluOya,2016-05-15,2016-05-23,9,69.47
ATT_GAM_20171031,ATT_GAM,AttanagaluOya,2017-10-31,2017-10-31,1,17.75
ATT_GAM_20171105,ATT_GAM,AttanagaluOya,2017-11-05,2017-11-07,3,19.09
ATT_GAM_20180930,ATT_GAM,AttanagaluOya,2018-09-30,2018-10-01,2,24.12
ATT_GAM_20191015,ATT_GAM,AttanagaluOya,2019-10-15,2019-10-22,8,27.12
ATT_GAM_20211108,ATT_GAM,AttanagaluOya,2021-11-08,2021-11-11,4,24.29
