sample_id,scene_id,actual_date,path,node_id,label,severity,purpose,tabular_key
S000003,S1A_IW_GRDH_1SSV_20160505T002443_20160505T002508_011116_010C15_rtc,2016-05-05,data\images\S000003.npy,ATT_GAM,1,severe,pre_event,ATT_GAM_2016-05-12
S000002,S1A_IW_GRDH_1SSV_20160522T125651_20160522T125720_011372_01146A_rtc,2016-05-22,data\images\S000002.npy,ATT_GAM,1,severe,flood_peak,ATT_GAM_2016-05-15
S000006,S1A_IW_GRDH_1SDV_20171108T002453_20171108T002518_019166_020701_rtc,2017-11-08,data\images\S000006.npy,ATT_GAM,1,high,flood_peak,ATT_GAM_2017-11-05
S000004,S1A_IW_GRDH_1SDV_20171027T002454_20171027T002519_018991_020197_rtc,2017-10-27,data\images\S000004.npy,ATT_GAM,1,high,flood_peak,ATT_GAM_2017-10-31
S000010,S1A_IW_GRDH_1SDV_20191017T002506_20191017T002531_029491_035B01_rtc,2019-10-17,data\images\S000010.npy,ATT_GAM,1,severe,flood_peak,ATT_GAM_2019-10-15
S000007,S1A_IW_GRDH_1SDV_20171027T002454_20171027T002519_018991_020197_rtc,2017-10-27,data\images\S000007.npy,ATT_GAM,1,high,pre_event,ATT_GAM_2017-11-02
S000012,S1B_IW_GRDH_1SDV_20211117T002456_20211117T002521_029620_0388EA_rtc,2021-11-17,data\images\S000012.npy,ATT_GAM,1,high,flood_peak,ATT_GAM_2021-11-09
S000011,S1A_IW_GRDH_1SDV_20191017T002506_20191017T002531_029491_035B01_rtc,2019-10-17,data\images\S000011.npy,ATT_GAM,1,severe,pre_event,ATT_GAM_2019-10-12
S000005,S1A_IW_GRDH_1SDV_20171027T002454_20171027T002519_018991_020197_rtc,2017-10-27,data\images\S000005.npy,ATT_GAM,1,high,pre_event,ATT_GAM_2017-10-28
S000014,S1A_IW_GRDH_1SDV_20231101T002529_20231101T002554_051016_0626C0_rtc,2023-11-01,data\images\S000014.npy,ATT_GAM,1,high,flood_peak,ATT_GAM_2023-10-21
