sample_id,node_id,lat,lon,basin,target_date,window_start,window_end,label,severity,purpose,event_id,chip_half_km,tabular_key
S000000,ATT_GAM,7.092,79.994,AttanagaluOya,2015-10-18,2015-10-12,2015-10-24,1,severe,flood_peak,ATT_GAM_20151016,3.2,ATT_GAM_2015-10-18
S000001,ATT_GAM,7.092,79.994,AttanagaluOya,2015-10-13,2015-10-07,2015-10-15,1,severe,pre_event,ATT_GAM_20151016,3.2,ATT_GAM_2015-10-13
S000002,ATT_GAM,7.092,79.994,AttanagaluOya,2016-05-15,2016-05-09,2016-05-21,1,severe,flood_peak,ATT_GAM_20160515,3.2,ATT_GAM_2016-05-15
S000003,ATT_GAM,7.092,79.994,AttanagaluOya,2016-05-12,2016-05-06,2016-05-14,1,severe,pre_event,ATT_GAM_20160515,3.2,ATT_GAM_2016-05-12
S000004,ATT_GAM,7.092,79.994,AttanagaluOya,2017-10-31,2017-10-25,2017-11-06,1,high,flood_peak,ATT_GAM_20171031,3.2,ATT_GAM_2017-10-31
S000005,ATT_GAM,7.092,79.994,AttanagaluOya,2017-10-28,2017-10-22,2017-10-30,1,high,pre_event,ATT_GAM_20171031,3.2,ATT_GAM_2017-10-28
S000006,ATT_GAM,7.092,79.994,AttanagaluOya,2017-11-05,2017-10-30,2017-11-11,1,high,flood_peak,ATT_GAM_20171105,3.2,ATT_GAM_2017-11-05
S000007,ATT_GAM,7.092,79.994,AttanagaluOya,2017-11-02,2017-10-27,2017-11-04,1,high,pre_event,ATT_GAM_20171105,3.2,ATT_GAM_2017-11-02
S000008,ATT_GAM,7.092,79.994,AttanagaluOya,2018-09-30,2018-09-24,2018-10-06,1,high,flood_peak,ATT_GAM_20180930,3.2,ATT_GAM_2018-09-30
S000009,ATT_GAM,7.092,79.994,AttanagaluOya,2018-09-27,2018-09-21,2018-09-29,1,high,pre_event,ATT_GAM_20180930,3.2,ATT_GAM_2018-09-27
S000010,ATT_GAM,7.092,79.994,AttanagaluOya,2019-10-15,2019-10-09,2019-10-21,1,severe,flood_peak,ATT_GAM_20191015,3.2,ATT_GAM_2019-10-15
S000011,ATT_GAM,7.092,79.994,AttanagaluOya,2019-10-12,2019-10-06,2019-10-14,1,severe,pre_event,ATT_GAM_20191015,3.2,ATT_GAM_2019-10-12
S000012,ATT_GAM,7.092,79.994,AttanagaluOya,2021-11-09,2021-11-03,2021-11-15,1,high,flood_peak,ATT_GAM_20211108,3.2,ATT_GAM_2021-11-09
S000013,ATT_GAM,7.092,79.994,AttanagaluOya,2021-11-05,2021-10-30,2021-11-07,1,high,pre_event,ATT_GAM_20211108,3.2,ATT_GAM_2021-11-05
