src,dst,edge_type,weight,distance_km
KAL_BAL,KAL_RAT,flow,1.0,33.09
KAL_RAT,KAL_BUL,flow,1.0,23.33
KAL_BUL,KAL_AGA,flow,1.0,14.58
KAL_AGA,KAL_KLT,flow,1.0,21.66
KAL_BAL,KAL_RAT,spatial,0.3319,33.09
KAL_BAL,KAL_BUL,spatial,0.1541,56.11
KAL_BAL,KAL_AGA,spatial,0.127,61.91
KAL_RAT,KAL_BUL,spatial,0.4594,23.33
KAL_RAT,KAL_AGA,spatial,0.3425,32.15
KAL_RAT,KAL_BAL,spatial,0.3319,33.09
KAL_BUL,KAL_AGA,spatial,0.615,14.58
KAL_BUL,KAL_RAT,spatial,0.4594,23.33
KAL_BUL,KAL_KLT,spatial,0.4092,26.81
KAL_AGA,KAL_BUL,spatial,0.615,14.58
KAL_AGA,KAL_KLT,spatial,0.4858,21.66
KAL_AGA,KAL_RAT,spatial,0.3425,32.15
KAL_KLT,KAL_AGA,spatial,0.4858,21.66
KAL_KLT,KAL_BUL,spatial,0.4092,26.81
KAL_KLT,KAL_RAT,spatial,0.1898,49.85
