event_id,node_id,basin,start,end,duration_days,peak_discharge
KAL_AGA_20040927,KAL_AGA,Kalu,2004-09-27,2004-09-27,1,5.76
KAL_AGA_20061020,KAL_AGA,Kalu,2006-10-20,2006-12-03,45,12.12
KAL_AGA_20080415,KAL_AGA,Kalu,2008-04-15,2008-04-19,5,8.31
KAL_AGA_20091031,KAL_AGA,Kalu,2009-10-31,2009-11-07,8,10.43
KAL_AGA_20091120,KAL_AGA,Kalu,2009-11-20,2009-11-22,3,6.18
KAL_AGA_20101111,KAL_AGA,Kalu,2010-11-11,2010-11-12,2,6.29
KAL_AGA_20121031,KAL_AGA,Kalu,2012-10-31,2012-11-03,4,6.41
KAL_AGA_20121124,KAL_AGA,Kalu,2012-11-24,2012-11-24,1,5.61
KAL_AGA_20131031,KAL_AGA,Kalu,2013-10-31,2013-10-31,1,5.52
KAL_AGA_20141015,KAL_AGA,Kalu,2014-10-15,2014-10-23,9,9.76
KAL_AGA_20141224,KAL_AGA,Kalu,2014-12-24,2014-12-29,6,7.97
KAL_AGA_20151024,KAL_AGA,Kalu,2015-10-24,2015-11-04,12,9.54
KAL_AGA_20151107,KAL_AGA,Kalu,2015-11-07,2015-11-09,3,5.75
KAL_AGA_20151113,KAL_AGA,Kalu,2015-11-13,2015-11-15,3,5.61
KAL_AGA_20160515,KAL_AGA,Kalu,2016-05-15,2016-05-22,8,12.46
KAL_AGA_20171201,KAL_AGA,Kalu,2017-12-01,2017-12-02,2,5.75
KAL_AGA_20191020,KAL_AGA,Kalu,2019-10-20,2019-10-23,4,6.69
KAL_AGA_20231105,KAL_AGA,Kalu,2023-11-05,2023-11-05,1,5.65
KAL_AGA_20231109,KAL_AGA,Kalu,2023-11-09,2023-11-17,9,6.96
KAL_AGA_20231124,KAL_AGA,Kalu,2023-11-24,2023-11-25,2,5.95
KAL_AGA_20231130,KAL_AGA,Kalu,2023-11-30,2023-12-05,6,6.11
KAL_AGA_20231211,KAL_AGA,Kalu,2023-12-11,2023-12-24,14,7.15
KAL_AGA_20240523,KAL_AGA,Kalu,2024-05-23,2024-05-31,9,6.45
KAL_AGA_20240604,KAL_AGA,Kalu,2024-06-04,2024-06-04,1,5.61
KAL_AGA_20251127,KAL_AGA,Kalu,2025-11-27,2025-12-04,8,12.96
KAL_BAL_20031127,KAL_BAL,Kalu,2003-11-27,2003-11-27,1,39.27
KAL_BAL_20061110,KAL_BAL,Kalu,2006-11-10,2006-11-25,16,66.45
KAL_BAL_20080409,KAL_BAL,Kalu,2008-04-09,2008-04-10,2,49.23
KAL_BAL_20101111,KAL_BAL,Kalu,2010-11-11,2010-11-11,1,40.11
KAL_BAL_20101203,KAL_BAL,Kalu,2010-12-03,2010-12-05,3,49.58
KAL_BAL_20101223,KAL_BAL,Kalu,2010-12-23,2010-12-28,6,52.33
KAL_BAL_20110101,KAL_BAL,Kalu,2011-01-01,2011-01-17,17,72.79
KAL_BAL_20110201,KAL_BAL,Kalu,2011-02-01,2011-02-02,2,44.5
KAL_BAL_20110206,KAL_BAL,Kalu,2011-02-06,2011-02-12,7,50.17
KAL_BAL_20121027,KAL_BAL,Kalu,2012-10-27,2012-11-02,7,58.84
KAL_BAL_20121111,KAL_BAL,Kalu,2012-11-11,2012-11-19,9,63.71
KAL_BAL_20130107,KAL_BAL,Kalu,2013-01-07,2013-01-08,2,42.85
KAL_BAL_20141015,KAL_BAL,Kalu,2014-10-15,2014-10-18,4,89.78
KAL_BAL_20141222,KAL_BAL,Kalu,2014-12-22,2014-12-31,10,66.3
KAL_BAL_20151023,KAL_BAL,Kalu,2015-10-23,2015-11-10,19,68.82
KAL_BAL_20151113,KAL_BAL,Kalu,2015-11-13,2015-11-14,2,41.46
KAL_BAL_20160514,KAL_BAL,Kalu,2016-05-14,2016-05-18,5,66.3
KAL_BAL_20181105,KAL_BAL,Kalu,2018-11-05,2018-11-07,3,47.31
KAL_BAL_20231026,KAL_BAL,Kalu,2023-10-26,2023-10-27,2,43.16
KAL_BAL_20231105,KAL_BAL,Kalu,2023-11-05,2023-11-15,11,45.13
KAL_BAL_20231123,KAL_BAL,Kalu,2023-11-23,2023-11-24,2,42.75
KAL_BAL_20231216,KAL_BAL,Kalu,2023-12-16,2023-12-21,6,42.45
KAL_BAL_20240524,KAL_BAL,Kalu,2024-05-24,2024-05-27,4,50.17
KAL_BAL_20251126,KAL_BAL,Kalu,2025-11-26,2025-12-02,7,70.61
KAL_BUL_20040926,KAL_BUL,Kalu,2004-09-26,2004-09-27,2,7.47
KAL_BUL_20041101,KAL_BUL,Kalu,2004-11-01,2004-11-03,3,7.57
KAL_BUL_20061020,KAL_BUL,Kalu,2006-10-20,2006-11-03,15,12.58
KAL_BUL_20061106,KAL_BUL,Kalu,2006-11-06,2006-12-02,27,14.45
KAL_BUL_20080409,KAL_BUL,Kalu,2008-04-09,2008-04-10,2,7.85
KAL_BUL_20080415,KAL_BUL,Kalu,2008-04-15,2008-04-18,4,11.11
KAL_BUL_20091031,KAL_BUL,Kalu,2009-10-31,2009-11-03,4,12.55
KAL_BUL_20091120,KAL_BUL,Kalu,2009-11-20,2009-11-20,1,6.71
KAL_BUL_20101110,KAL_BUL,Kalu,2010-11-10,2010-11-12,3,8.79
KAL_BUL_20121027,KAL_BUL,Kalu,2012-10-27,2012-11-02,7,7.34
KAL_BUL_20121115,KAL_BUL,Kalu,2012-11-15,2012-11-16,2,6.94
KAL_BUL_20131030,KAL_BUL,Kalu,2013-10-30,2013-10-31,2,8.46
KAL_BUL_20141015,KAL_BUL,Kalu,2014-10-15,2014-10-20,6,13.42
KAL_BUL_20141223,KAL_BUL,Kalu,2014-12-23,2014-12-29,7,9.99
KAL_BUL_20151016,KAL_BUL,Kalu,2015-10-16,2015-10-18,3,7.38
KAL_BUL_20151023,KAL_BUL,Kalu,2015-10-23,2015-11-04,13,10.56
KAL_BUL_20151108,KAL_BUL,Kalu,2015-11-08,2015-11-08,1,6.76
KAL_BUL_20160514,KAL_BUL,Kalu,2016-05-14,2016-05-23,10,16.14
KAL_BUL_20191020,KAL_BUL,Kalu,2019-10-20,2019-10-22,3,7.83
KAL_BUL_20231021,KAL_BUL,Kalu,2023-10-21,2023-10-21,1,6.89
KAL_BUL_20231104,KAL_BUL,Kalu,2023-11-04,2023-11-18,15,8.59
KAL_BUL_20231125,KAL_BUL,Kalu,2023-11-25,2023-11-25,1,7.34
KAL_BUL_20231130,KAL_BUL,Kalu,2023-11-30,2023-12-01,2,6.98
KAL_BUL_20231215,KAL_BUL,Kalu,2023-12-15,2023-12-22,8,7.71
KAL_BUL_20240527,KAL_BUL,Kalu,2024-05-27,2024-05-30,4,8.53
KAL_BUL_20240604,KAL_BUL,Kalu,2024-06-04,2024-06-04,1,7.02
KAL_BUL_20251126,KAL_BUL,Kalu,2025-11-26,2025-12-03,8,16.06
KAL_KLT_20061021,KAL_KLT,Kalu,2006-10-21,2006-10-29,9,888.2
KAL_KLT_20061106,KAL_KLT,Kalu,2006-11-06,2006-11-30,25,1212.39
KAL_KLT_20080409,KAL_KLT,Kalu,2008-04-09,2008-04-11,3,738.61
KAL_KLT_20080415,KAL_KLT,Kalu,2008-04-15,2008-04-18,4,793.33
KAL_KLT_20091031,KAL_KLT,Kalu,2009-10-31,2009-11-03,4,780.63
KAL_KLT_20101111,KAL_KLT,Kalu,2010-11-11,2010-11-12,2,740.31
KAL_KLT_20101202,KAL_KLT,Kalu,2010-12-02,2010-12-05,4,706.95
KAL_KLT_20101224,KAL_KLT,Kalu,2010-12-24,2010-12-26,3,694.02
KAL_KLT_20121028,KAL_KLT,Kalu,2012-10-28,2012-11-02,6,735.21
KAL_KLT_20121111,KAL_KLT,Kalu,2012-11-11,2012-11-11,1,641.69
KAL_KLT_20121115,KAL_KLT,Kalu,2012-11-15,2012-11-18,4,766.36
KAL_KLT_20141015,KAL_KLT,Kalu,2014-10-15,2014-10-19,5,1128.8
KAL_KLT_20141223,KAL_KLT,Kalu,2014-12-23,2014-12-29,7,908.91
KAL_KLT_20151018,KAL_KLT,Kalu,2015-10-18,2015-10-18,1,635.8
KAL_KLT_20151023,KAL_KLT,Kalu,2015-10-23,2015-11-15,24,1123.61
KAL_KLT_20160514,KAL_KLT,Kalu,2016-05-14,2016-05-22,9,1168.5
KAL_KLT_20191020,KAL_KLT,Kalu,2019-10-20,2019-10-22,3,715.14
KAL_KLT_20231021,KAL_KLT,Kalu,2023-10-21,2023-10-21,1,641.69
KAL_KLT_20231102,KAL_KLT,Kalu,2023-11-02,2023-11-17,16,793.33
KAL_KLT_20231124,KAL_KLT,Kalu,2023-11-24,2023-11-25,2,675.08
KAL_KLT_20231130,KAL_KLT,Kalu,2023-11-30,2023-12-01,2,659.69
KAL_KLT_20231212,KAL_KLT,Kalu,2023-12-12,2023-12-12,1,638.73
KAL_KLT_20231215,KAL_KLT,Kalu,2023-12-15,2023-12-23,9,768.13
KAL_KLT_20240526,KAL_KLT,Kalu,2024-05-26,2024-05-30,5,780.63
KAL_KLT_20251126,KAL_KLT,Kalu,2025-11-26,2025-12-03,8,1354.19
KAL_RAT_20031127,KAL_RAT,Kalu,2003-11-27,2003-11-28,2,161.93
KAL_RAT_20031207,KAL_RAT,Kalu,2003-12-07,2003-12-07,1,157.85
KAL_RAT_20061023,KAL_RAT,Kalu,2006-10-23,2006-10-24,2,170.0
KAL_RAT_20061110,KAL_RAT,Kalu,2006-11-10,2006-11-28,19,288.73
KAL_RAT_20080409,KAL_RAT,Kalu,2008-04-09,2008-04-11,3,211.32
KAL_RAT_20080415,KAL_RAT,Kalu,2008-04-15,2008-04-17,3,179.72
KAL_RAT_20091031,KAL_RAT,Kalu,2009-10-31,2009-10-31,1,164.58
KAL_RAT_20101110,KAL_RAT,Kalu,2010-11-10,2010-11-11,2,176.42
KAL_RAT_20101202,KAL_RAT,Kalu,2010-12-02,2010-12-05,4,188.67
KAL_RAT_20101223,KAL_RAT,Kalu,2010-12-23,2010-12-26,4,196.24
KAL_RAT_20110102,KAL_RAT,Kalu,2011-01-02,2011-01-13,12,206.01
KAL_RAT_20110207,KAL_RAT,Kalu,2011-02-07,2011-02-08,2,163.06
KAL_RAT_20121027,KAL_RAT,Kalu,2012-10-27,2012-11-01,6,206.49
KAL_RAT_20121111,KAL_RAT,Kalu,2012-11-11,2012-11-19,9,222.36
KAL_RAT_20141015,KAL_RAT,Kalu,2014-10-15,2014-10-18,4,319.63
KAL_RAT_20141222,KAL_RAT,Kalu,2014-12-22,2014-12-30,9,233.42
KAL_RAT_20151016,KAL_RAT,Kalu,2015-10-16,2015-10-16,1,168.82
KAL_RAT_20151023,KAL_RAT,Kalu,2015-10-23,2015-11-14,23,272.53
KAL_RAT_20160514,KAL_RAT,Kalu,2016-05-14,2016-05-20,7,249.61
KAL_RAT_20231105,KAL_RAT,Kalu,2023-11-05,2023-11-16,12,183.5
KAL_RAT_20231219,KAL_RAT,Kalu,2023-12-19,2023-12-22,4,179.3
KAL_RAT_20240526,KAL_RAT,Kalu,2024-05-26,2024-05-28,3,194.43
KAL_RAT_20251126,KAL_RAT,Kalu,2025-11-26,2025-12-02,7,289.4
