sample_id,scene_id,actual_date,path,node_id,label,severity,purpose,tabular_key
KAL00004,S1A_IW_GRDH_1SSV_20151119T002508_20151119T002523_008666_00C51D_rtc,2015-11-19,data/images/KAL00004.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2015-11-14
KAL00002,S1A_IW_GRDH_1SSV_20151119T002508_20151119T002523_008666_00C51D_rtc,2015-11-19,data/images/KAL00002.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2015-11-09
KAL00005,S1A_IW_GRDH_1SSV_20151119T002508_20151119T002523_008666_00C51D_rtc,2015-11-19,data/images/KAL00005.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2015-11-10
KAL00007,S1A_IW_GRDH_1SSV_20160505T002508_20160505T002522_011116_010C15_rtc,2016-05-05,data/images/KAL00007.npy,KAL_AGA,1,severe,pre_event,KAL_AGA_2016-05-12
KAL00006,S1A_IW_GRDH_1SSV_20160522T125651_20160522T125720_011372_01146A_rtc,2016-05-22,data/images/KAL00006.npy,KAL_AGA,1,severe,flood_peak,KAL_AGA_2016-05-15
KAL00009,S1A_IW_GRDH_1SDV_20171202T002518_20171202T002543_019516_0211F7_rtc,2017-12-02,data/images/KAL00009.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2017-11-28
KAL00008,S1A_IW_GRDH_1SDV_20171202T002518_20171202T002543_019516_0211F7_rtc,2017-12-02,data/images/KAL00008.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2017-12-01
KAL00011,S1A_IW_GRDH_1SDV_20191017T002531_20191017T002557_029491_035B01_rtc,2019-10-17,data/images/KAL00011.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2019-10-17
KAL00010,S1A_IW_GRDH_1SDV_20191017T002531_20191017T002557_029491_035B01_rtc,2019-10-17,data/images/KAL00010.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2019-10-21
KAL00012,S1A_IW_GRDH_1SDV_20231101T002554_20231101T002620_051016_0626C0_rtc,2023-11-01,data/images/KAL00012.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2023-11-05
KAL00013,S1A_IW_GRDH_1SDV_20231101T002554_20231101T002620_051016_0626C0_rtc,2023-11-01,data/images/KAL00013.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2023-11-02
KAL00014,S1A_IW_GRDH_1SDV_20231113T002554_20231113T002620_051191_062CC5_rtc,2023-11-13,data/images/KAL00014.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2023-11-14
KAL00015,S1A_IW_GRDH_1SDV_20231101T002554_20231101T002620_051016_0626C0_rtc,2023-11-01,data/images/KAL00015.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2023-11-06
KAL00018,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00018.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2023-12-01
KAL00016,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00016.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2023-11-25
KAL00017,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00017.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2023-11-21
KAL00019,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00019.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2023-11-27
KAL00021,S1A_IW_GRDH_1SDV_20231207T002553_20231207T002619_051541_0638D1_rtc,2023-12-07,data/images/KAL00021.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2023-12-08
KAL00022,S1A_IW_GRDH_1SDV_20240523T002552_20240523T002617_053991_069047_rtc,2024-05-23,data/images/KAL00022.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2024-05-27
KAL00023,S1A_IW_GRDH_1SDV_20240523T002552_20240523T002617_053991_069047_rtc,2024-05-23,data/images/KAL00023.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2024-05-20
KAL00020,S1A_IW_GRDH_1SDV_20231219T002553_20231219T002618_051716_063EF0_rtc,2023-12-19,data/images/KAL00020.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2023-12-21
KAL00026,S1A_IW_GRDH_1SDV_20251126T002540_20251126T002605_062041_07C2FF_rtc,2025-11-26,data/images/KAL00026.npy,KAL_AGA,1,severe,flood_peak,KAL_AGA_2025-11-29
KAL00027,S1A_IW_GRDH_1SDV_20251126T002540_20251126T002605_062041_07C2FF_rtc,2025-11-26,data/images/KAL00027.npy,KAL_AGA,1,severe,pre_event,KAL_AGA_2025-11-24
KAL00024,S1A_IW_GRDH_1SDV_20240604T002551_20240604T002617_054166_069654_rtc,2024-06-04,data/images/KAL00024.npy,KAL_AGA,1,high,flood_peak,KAL_AGA_2024-06-04
KAL00025,S1A_IW_GRDH_1SDV_20240604T002551_20240604T002617_054166_069654_rtc,2024-06-04,data/images/KAL00025.npy,KAL_AGA,1,high,pre_event,KAL_AGA_2024-06-01
KAL00028,S1A_IW_GRDH_1SSV_20151014T124854_20151014T124922_008149_00B70A_rtc,2015-10-14,data/images/KAL00028.npy,KAL_BAL,1,severe,flood_peak,KAL_BAL_2015-10-24
KAL00029,S1A_IW_GRDH_1SSV_20151014T124854_20151014T124922_008149_00B70A_rtc,2015-10-14,data/images/KAL00029.npy,KAL_BAL,1,severe,pre_event,KAL_BAL_2015-10-20
KAL00031,S1A_IW_GRDH_1SSV_20151107T124853_20151107T124922_008499_00C064_rtc,2015-11-07,data/images/KAL00031.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2015-11-10
KAL00030,S1A_IW_GRDH_1SSV_20151107T124853_20151107T124922_008499_00C064_rtc,2015-11-07,data/images/KAL00030.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2015-11-13
KAL00032,S1A_IW_GRDH_1SSV_20160517T124848_20160517T124917_011299_0111FA_rtc,2016-05-17,data/images/KAL00032.npy,KAL_BAL,1,severe,flood_peak,KAL_BAL_2016-05-15
KAL00033,S1A_IW_GRDH_1SSV_20160505T002508_20160505T002522_011116_010C15_rtc,2016-05-05,data/images/KAL00033.npy,KAL_BAL,1,severe,pre_event,KAL_BAL_2016-05-11
KAL00036,S1A_IW_GRDH_1SDV_20231020T124931_20231020T125000_050849_062104_rtc,2023-10-20,data/images/KAL00036.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2023-10-26
KAL00037,S1A_IW_GRDH_1SDV_20231020T124931_20231020T125000_050849_062104_rtc,2023-10-20,data/images/KAL00037.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2023-10-23
KAL00034,S1A_IW_GRDH_1SDV_20181103T124907_20181103T124936_024424_02AD1E_rtc,2018-11-03,data/images/KAL00034.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2018-11-06
KAL00035,S1A_IW_GRDH_1SDV_20181103T124907_20181103T124936_024424_02AD1E_rtc,2018-11-03,data/images/KAL00035.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2018-11-02
KAL00038,S1A_IW_GRDH_1SDV_20231113T124931_20231113T125000_051199_062D0C_rtc,2023-11-13,data/images/KAL00038.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2023-11-14
KAL00040,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00040.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2023-11-23
KAL00041,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00041.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2023-11-20
KAL00039,S1A_IW_GRDH_1SDV_20231101T124930_20231101T124959_051024_062707_rtc,2023-11-01,data/images/KAL00039.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2023-11-02
KAL00043,S1A_IW_GRDH_1SDV_20231207T124930_20231207T124959_051549_063915_rtc,2023-12-07,data/images/KAL00043.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2023-12-13
KAL00044,S1A_IW_GRDH_1SDV_20240523T124928_20240523T124957_053999_06908D_rtc,2024-05-23,data/images/KAL00044.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2024-05-26
KAL00042,S1A_IW_GRDH_1SDV_20231219T002553_20231219T002618_051716_063EF0_rtc,2023-12-19,data/images/KAL00042.npy,KAL_BAL,1,high,flood_peak,KAL_BAL_2023-12-19
KAL00046,S1A_IW_GRDH_1SDV_20251126T124916_20251126T124945_062049_07C34E_rtc,2025-11-26,data/images/KAL00046.npy,KAL_BAL,1,severe,flood_peak,KAL_BAL_2025-11-29
KAL00045,S1A_IW_GRDH_1SDV_20240523T002552_20240523T002617_053991_069047_rtc,2024-05-23,data/images/KAL00045.npy,KAL_BAL,1,high,pre_event,KAL_BAL_2024-05-21
KAL00052,S1A_IW_GRDH_1SSV_20151119T002508_20151119T002523_008666_00C51D_rtc,2015-11-19,data/images/KAL00052.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2015-11-08
KAL00054,S1A_IW_GRDH_1SSV_20160522T125651_20160522T125720_011372_01146A_rtc,2016-05-22,data/images/KAL00054.npy,KAL_BUL,1,severe,flood_peak,KAL_BUL_2016-05-15
KAL00047,S1A_IW_GRDH_1SDV_20251126T002540_20251126T002605_062041_07C2FF_rtc,2025-11-26,data/images/KAL00047.npy,KAL_BAL,1,severe,pre_event,KAL_BAL_2025-11-23
KAL00055,S1A_IW_GRDH_1SSV_20160505T002508_20160505T002522_011116_010C15_rtc,2016-05-05,data/images/KAL00055.npy,KAL_BUL,1,severe,pre_event,KAL_BUL_2016-05-11
KAL00057,S1A_IW_GRDH_1SDV_20191017T002531_20191017T002557_029491_035B01_rtc,2019-10-17,data/images/KAL00057.npy,KAL_BUL,1,high,pre_event,KAL_BUL_2019-10-17
KAL00056,S1A_IW_GRDH_1SDV_20191017T002531_20191017T002557_029491_035B01_rtc,2019-10-17,data/images/KAL00056.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2019-10-20
KAL00058,S1A_IW_GRDH_1SDV_20231101T002554_20231101T002620_051016_0626C0_rtc,2023-11-01,data/images/KAL00058.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2023-10-21
KAL00061,S1A_IW_GRDH_1SDV_20231101T002554_20231101T002620_051016_0626C0_rtc,2023-11-01,data/images/KAL00061.npy,KAL_BUL,1,high,pre_event,KAL_BUL_2023-11-01
KAL00060,S1A_IW_GRDH_1SDV_20231113T002554_20231113T002620_051191_062CC5_rtc,2023-11-13,data/images/KAL00060.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2023-11-10
KAL00059,S1A_IW_GRDH_1SDV_20231008T002555_20231008T002620_050666_061AC8_rtc,2023-10-08,data/images/KAL00059.npy,KAL_BUL,1,high,pre_event,KAL_BUL_2023-10-18
KAL00064,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00064.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2023-11-30
KAL00062,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00062.npy,KAL_BUL,1,high,flood_peak,KAL_BUL_2023-11-25
KAL00063,S1A_IW_GRDH_1SDV_20231125T002553_20231125T002619_051366_0632CF_rtc,2023-11-25,data/images/KAL00063.npy,KAL_BUL,1,high,pre_event,KAL_BUL_2023-11-22
