sample_id,node_id,lat,lon,basin,target_date,window_start,window_end,label,severity,purpose,event_id,chip_half_km,tabular_key
KAL00000,KAL_AGA,6.535,80.15,Kalu,2015-10-25,2015-10-19,2015-10-31,1,severe,flood_peak,KAL_AGA_20151024,3.2,KAL_AGA_2015-10-25
KAL00001,KAL_AGA,6.535,80.15,Kalu,2015-10-21,2015-10-15,2015-10-23,1,severe,pre_event,KAL_AGA_20151024,3.2,KAL_AGA_2015-10-21
KAL00002,KAL_AGA,6.535,80.15,Kalu,2015-11-09,2015-11-03,2015-11-15,1,high,flood_peak,KAL_AGA_20151107,3.2,KAL_AGA_2015-11-09
KAL00003,KAL_AGA,6.535,80.15,Kalu,2015-11-04,2015-10-29,2015-11-06,1,high,pre_event,KAL_AGA_20151107,3.2,KAL_AGA_2015-11-04
KAL00004,KAL_AGA,6.535,80.15,Kalu,2015-11-14,2015-11-08,2015-11-20,1,high,flood_peak,KAL_AGA_20151113,3.2,KAL_AGA_2015-11-14
KAL00005,KAL_AGA,6.535,80.15,Kalu,2015-11-10,2015-11-04,2015-11-12,1,high,pre_event,KAL_AGA_20151113,3.2,KAL_AGA_2015-11-10
KAL00006,KAL_AGA,6.535,80.15,Kalu,2016-05-15,2016-05-09,2016-05-21,1,severe,flood_peak,KAL_AGA_20160515,3.2,KAL_AGA_2016-05-15
KAL00007,KAL_AGA,6.535,80.15,Kalu,2016-05-12,2016-05-06,2016-05-14,1,severe,pre_event,KAL_AGA_20160515,3.2,KAL_AGA_2016-05-12
KAL00008,KAL_AGA,6.535,80.15,Kalu,2017-12-01,2017-11-25,2017-12-07,1,high,flood_peak,KAL_AGA_20171201,3.2,KAL_AGA_2017-12-01
KAL00009,KAL_AGA,6.535,80.15,Kalu,2017-11-28,2017-11-22,2017-11-30,1,high,pre_event,KAL_AGA_20171201,3.2,KAL_AGA_2017-11-28
KAL00010,KAL_AGA,6.535,80.15,Kalu,2019-10-21,2019-10-15,2019-10-27,1,high,flood_peak,KAL_AGA_20191020,3.2,KAL_AGA_2019-10-21
KAL00011,KAL_AGA,6.535,80.15,Kalu,2019-10-17,2019-10-11,2019-10-19,1,high,pre_event,KAL_AGA_20191020,3.2,KAL_AGA_2019-10-17
KAL00012,KAL_AGA,6.535,80.15,Kalu,2023-11-05,2023-10-30,2023-11-11,1,high,flood_peak,KAL_AGA_20231105,3.2,KAL_AGA_2023-11-05
KAL00013,KAL_AGA,6.535,80.15,Kalu,2023-11-02,2023-10-27,2023-11-04,1,high,pre_event,KAL_AGA_20231105,3.2,KAL_AGA_2023-11-02
KAL00014,KAL_AGA,6.535,80.15,Kalu,2023-11-14,2023-11-08,2023-11-20,1,high,flood_peak,KAL_AGA_20231109,3.2,KAL_AGA_2023-11-14
KAL00015,KAL_AGA,6.535,80.15,Kalu,2023-11-06,2023-10-31,2023-11-08,1,high,pre_event,KAL_AGA_20231109,3.2,KAL_AGA_2023-11-06
KAL00016,KAL_AGA,6.535,80.15,Kalu,2023-11-25,2023-11-19,2023-12-01,1,high,flood_peak,KAL_AGA_20231124,3.2,KAL_AGA_2023-11-25
KAL00017,KAL_AGA,6.535,80.15,Kalu,2023-11-21,2023-11-15,2023-11-23,1,high,pre_event,KAL_AGA_20231124,3.2,KAL_AGA_2023-11-21
KAL00018,KAL_AGA,6.535,80.15,Kalu,2023-12-01,2023-11-25,2023-12-07,1,high,flood_peak,KAL_AGA_20231130,3.2,KAL_AGA_2023-12-01
KAL00019,KAL_AGA,6.535,80.15,Kalu,2023-11-27,2023-11-21,2023-11-29,1,high,pre_event,KAL_AGA_20231130,3.2,KAL_AGA_2023-11-27
KAL00020,KAL_AGA,6.535,80.15,Kalu,2023-12-21,2023-12-15,2023-12-27,1,high,flood_peak,KAL_AGA_20231211,3.2,KAL_AGA_2023-12-21
KAL00021,KAL_AGA,6.535,80.15,Kalu,2023-12-08,2023-12-02,2023-12-10,1,high,pre_event,KAL_AGA_20231211,3.2,KAL_AGA_2023-12-08
KAL00022,KAL_AGA,6.535,80.15,Kalu,2024-05-27,2024-05-21,2024-06-02,1,high,flood_peak,KAL_AGA_20240523,3.2,KAL_AGA_2024-05-27
